Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,488330746;0,012942721;2,650400659;
2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,04610786;0,135649681;12,96708359;
3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,504267709;0,002036185;0,403790388;
4;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0,510149693;0,025993188;5,095208007;
5;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,61398404;0,00798472;1,300476825;
6;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,700991049;0,000833584;0,118915096;
7;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,809085842;0,07450925;9,209066069;
8;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,992576342;0,009905147;0,997922958;
9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0,662200151;0,012798548;1,932731105;
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0,615539552;0,0766252;12,4484609;
