time,Sub,Biomass,Ca,Cl,Co,Cu,Fe,Mg,Mo,Na,Zn,K,Ni,NH4,P,S,CO2_l,CO2_g,O2_l,O2_g,H,OH
0,10,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0.0004,0.00025,0.21,0,0
1.20240481,9.995014909,0.05049850908,-0.1198339134,-0.1198339134,-0.1797724774,-0.1797724774,-0.03447504009,-0.0718934352,-0.1797724774,-0.1437868704,-0.1797724774,-0.003195571024,-0.1797724774,-4.765861183e-05,-0.0005422702923,-9.018029252e-05,3.400371244e-05,0.0004053971236,0.0002390374499,0.2099843612,5.18308463e-05,0
2.404809619,9.989980141,0.05100198588,-0.2408619896,-0.2408619896,-0.3613364142,-0.3613364142,-0.06929362909,-0.1445032992,-0.3613364142,-0.2890065984,-0.3613364142,-0.006422986388,-0.3613364142,-9.579214881e-05,-0.001089944389,-0.0001812592451,4.594605877e-05,0.0004180987712,0.0002320492382,0.209964483,0.0001041781947,0
3.607214429,9.984895202,0.05151047984,-0.363096115,-0.363096115,-0.5447096424,-0.5447096424,-0.1044591866,-0.2178367232,-0.5447096424,-0.4356734463,-0.5447096424,-0.009682563067,-0.5447096424,-0.0001444053383,-0.001643076078,-0.0002732458028,5.352336107e-05,0.0004354110412,0.0002275167849,0.2099418813,0.0001570471864,0
4.809619238,9.979759591,0.05202404091,-0.486548295,-0.486548295,-0.7299101721,-0.7299101721,-0.1399751665,-0.2919009096,-0.7299101721,-0.5838018192,-0.7299101721,-0.0129746212,-0.7299101721,-0.0001935029548,-0.002201719686,-0.0003661490001,5.840390434e-05,0.0004556680931,0.0002245004945,0.2099174931,0.0002104430139,0
6.012024048,9.974572805,0.05254271952,-0.6112306542,-0.6112306542,-0.9169561924,-0.9169561924,-0.1758450568,-0.3667031326,-0.9169561924,-0.7334062652,-0.9169561924,-0.01629948411,-0.9169561924,-0.0002430898204,-0.002765930079,-0.0004599779614,6.162047711e-05,0.0004778396071,0.0002224186799,0.2098918972,0.0002643709213,0
7.214428858,9.969334334,0.05306656662,-0.7371554375,-0.7371554375,-1.105866073,-1.105866073,-0.2120723804,-0.4422507384,-1.105866073,-0.8845014768,-1.105866073,-0.01965747833,-1.105866073,-0.000293170805,-0.003335762667,-0.0005547419015,6.380958019e-05,0.0005012915759,0.0002209128406,0.2098654497,0.000318836205,0
8.416833667,9.964043664,0.05359563365,-0.8643350114,-0.8643350114,-1.296658365,-1.296658365,-0.2486606948,-0.5185511462,-1.296658365,-1.037102292,-1.296658365,-0.02304893364,-1.296658365,-0.0003437508267,-0.003911273412,-0.0006504501268,6.536610873e-05,0.0005256316224,0.000219760547,0.20983837,0.0003738442137,0
9.619238477,9.958700274,0.05412997256,-0.9927818653,-0.9927818653,-1.489351807,-1.489351807,-0.2856135933,-0.5956118488,-1.489351807,-1.191223698,-1.489351807,-0.02647418308,-1.489351807,-0.0003948348527,-0.004492518829,-0.0007471120361,6.653309944e-05,0.000550619253,0.0002188248953,0.2098107924,0.0004294003493,0
10.82164329,9.953303642,0.05466963583,-1.122508613,-1.122508613,-1.683965319,-1.683965319,-0.3229347046,-0.6734404137,-1.683965319,-1.346880827,-1.683965319,-0.029933563,-1.683965319,-0.0004464278995,-0.005079555997,-0.0008447371213,6.746161047e-05,0.0005761059778,0.0002180207829,0.2097827991,0.0004855100674,0
