,Value
V_f,0.01
V_s,0.005
V_l,1.0
V_g,1.0
V_b,0.002
V_Gasin,0.003
V_offGas,0.001
V_a,0.001
Y_Sub,0.5
Y_Ca,0.4
Y_Cl,0.4
Y_Co,0.4
Y_Cu,0.4
Y_Fe,0.4
Y_Mg,0.4
Y_Mo,0.4
Y_Na,0.4
Y_Zn,0.4
Y_K,0.4
Y_Ni,0.4
Y_NH4,0.4
Y_P,0.4
Y_CO2,0.3
Y_O2,0.2
Y_H,0.5
Y_S,0.05
CSub_f,5.0
CCa_f,1.0
CCl_f,1.0
CCo_f,1.0
CCu_f,1.0
CFe_f,1.0
CMg_f,1.0
CMo_f,1.0
CNa_f,1.0
CNab,0.5
CZn_f,1.0
CK_f,1.0
CNi_f,1.0
CNH4_f,1.0
CP_f,1.0
CS_f,1.0
CO2_Gasin,0.05
O2_Gasin,0.05
CH_f,0.1
CH_a,0.05
COH_f,0.05
COH_b,0.05
CO2_sat,0.3
O2_sat,0.2
K_L_a,50.0
mu,0.2
